Price,Sqft
394500,3002
995000,3200
1300000,4380
735000,2340
633000,2020
500000,2280
265000,1400
157340,900
560000,1390
475226,2120
540000,1380
775000,2030
242025,1400
339950,2390
280000,1700
510000,2170
340000,1740
325000,1730
560000,2790
520000,2310
733500,2120
207000,1980
785000,1670
300000,930
530000,1320
580000,2430
226500,1560
314963,890
295000,1230
872500,2040
640000,2940
265000,1010
260000,2390
305000,1590
415000,2230
463000,1250
365000,1250
1050000,2880
590000,2830
374500,1400
496500,2260
175000,670
747000,2560
605000,1270
949880,2290
333000,2623
211000,2100
1010000,2940
455000,2090
425000,1390
660000,1980
472000,2180
860000,3060
1230000,2200
500000,2240
340000,3180
650000,1710
545000,2380
755000,2000
350000,1250
1220000,3090
562000,3290
270000,1010
260000,2160
458000,2020
320000,1560
280000,1590
432500,1930
569995,2650
1010000,2160
307000,770
395000,1460
382000,2530
485000,1900
340000,2090
484998,1540
240000,870
920000,1410
469000,2240
404500,800
555000,3330
305000,800
279900,1410
894000,3800
519000,2570
375000,2100
360000,1170
540000,2480
784000,3540
512500,2200
542500,1920
594000,2080
805000,2360
550000,1410
2130000,3190
825000,3920
231200,1400
470000,2320
648000,3290
580000,3569
384500,1600
845000,2880
490000,1540
850000,2450
445000,2380
982218,2340
310000,1060
749950,2620
808000,3460
555000,3050
459000,2260
280000,1150
257950,1370
273000,1500
528000,2020
339000,2900
320000,1760
415000,2010
499000,2650
594491,2990
639000,1990
248000,1850
480000,1540
324950,1150
552625,2560
710000,2630
460000,1520
666000,2140
675000,1510
619500,2210
405000,1350
225000,940
975000,2240
213800,740
281000,1690
535000,2210
253905,940
490000,1470
334950,2190
600000,940
480000,1820
305000,1830
715000,3260
552500,1430
212000,1880
264950,1720
630000,1590
610000,1830
353000,2510
455000,1870
740000,2230
620000,2400
3800000,7050
709000,2360
185000,1240
355000,1650
540000,1270
905000,3330
308500,840
790000,3020
305000,860
575000,1720
316000,2600
580000,1570
476000,1440
715000,2370
425000,1250
212500,920
408000,2820
522500,2200
310000,720
240000,1360
625000,1560
395000,2130
415000,1640
275000,1680
640000,2480
375000,2340
293000,1020
535950,2370
200000,1920
392800,740
302000,1110
305000,2250
900000,3690
395000,950
304000,1280
685000,1300
257500,1300
500000,1780
415000,980
930000,1800
647000,3040
1200000,3430
520000,1810
424000,1230
433000,1920
280000,1010
306500,1420
217000,1110
280000,1610
1400000,2550
195000,1300
284850,1590
685000,1660
408000,810
593500,4300
400000,1560
504500,1820
245000,2100
1250000,3820
1370000,2460
90000,790
387846,2520
248000,1010
354000,2900
249000,1580
840000,2100
280000,1480
360000,1570
885000,2880
326000,1720
678700,1970
414000,1790
320000,1510
309000,1280
515000,1060
567500,2080
290000,1250
507000,1770
383000,1150
449888,2520
269500,1700
826000,2330
475000,1980
245000,1530
320000,1890
670000,1680
350000,2420
996000,3620
620000,2520
976000,3120
350000,1430
545400,2850
462000,1890
500000,2590
219950,1010
498688,1910
415000,1270
593567,1770
375000,1380
678000,1670
648000,2210
620000,3600
537000,1550
630000,1050
330000,3150
580000,1800
1750000,4650
534500,1700
670000,2110
520000,2280
579000,1640
682000,2760
525000,2320
275000,940
827235,1740
360000,840
371000,890
1040000,4180
993000,2850
521450,1290
425996,2568
445000,2930
919990,3960
464000,1630
559000,1650
679000,3420
273000,1180
290000,2000
1200000,2860
360000,1810
493000,2030
395000,1400
1890000,4285
765000,4410
391500,1920
600000,1370
676101,2270
770000,3680
1270000,4410
295000,2350
1140000,3370
609000,1630
550000,1570
280000,2080
1030000,3320
319990,1840
383000,1830
400000,2180
250000,990
381156,1320
515000,1740
425000,1240
299950,1780
225000,1170
591000,1460
605000,2670
332000,1980
300000,1810
505000,2100
850000,3320
300000,820
525000,2700
510000,3300
405000,3672
100000,1120
1350000,3300
545000,2660
524000,2430
260000,1420
308000,1250
445000,1990
756450,3210
235867,1330
253000,1570
542000,890
657500,2320
275000,1190
540000,3370
345000,2080
290000,1360
240000,1270
240000,1100
2400000,3650
215000,1610
650000,2330
235000,1460
790000,1290
206000,1060
712198,2450
721000,2690
400000,1250
220000,1400
911100,3330
114000,730
1330000,4420
268000,1850
824000,2490
525000,1820
859990,3520
463000,2010
250000,1510
369000,2550
530200,1880
287000,1370
549950,1260
300000,1220
462000,2060
299950,1740
630000,1360
375000,2240
549900,3610
513000,2150
274950,1840
412000,1260
205000,1030
1250000,4040
419000,1510
544500,1690
895000,3570
447000,850
1600000,3640
230000,1060
569950,2700
668000,3990
363000,1960
427000,1200
429800,1970
340000,1250
653675,2280
672000,1220
650000,1440
770000,2650
2000000,3050
465000,2820
237500,810
300000,760
464600,1120
415000,1830
310000,1210
580000,3030
585000,2400
321000,1800
580000,1990
331950,2530
886000,2380
237502,980
305000,2030
615000,1210
292500,1610
230000,880
730000,1728
305000,2460
277000,1100
440000,1690
256500,1320
515000,2130
550000,1840
265000,960
524000,1450
500000,1540
285000,1800
465000,1494
300000,2200
355000,1960
255000,1720
511100,1560
368000,3160
1240000,3180
367500,1960
544000,2030
875000,2920
418000,1550
344000,1232
336600,1654
607000,2100
540000,2050
649000,3130
1300000,2610
245000,1700
235000,870
865000,2750
570000,1030
480000,3028
341000,1720
325000,1060
375000,1430
387000,1530
344950,1090
1050000,2930
679000,1420
290000,1520
425000,1180
275000,990
235000,910
310000,2010
672000,2440
579000,3220
673000,2990
265000,1660
172040,1710
869900,2750
314500,1870
409900,1690
190000,1590
380000,1440
332000,2270
279000,2070
731500,2650
710000,1650
335000,1940
234000,1640
175000,1780
673000,2830
538500,2500
435000,1910
607500,3000
875000,2530
250000,800
335000,2370
435000,1740
460000,1080
225000,800
368000,2590
1320000,2860
485000,2060
520000,1870
1050000,4210
2900000,3750
480000,2240
215000,970
307635,1820
299000,1040
229950,1170
589000,2660
379000,1530
501000,1810
950000,4100
240000,1010
309950,1200
319900,2475
196700,1090
300000,2303
370000,3150
2900000,5050
815000,1400
295000,700
340000,670
549000,1710
